ICN_ID;SPECIES;SEX;SGL;C-C;IOB;POB;HSB;CCL;BL;GL;ZB;M-M;OZR;CBL;MB;HSH;UZR;UKL;CH
10112;Anoura geoffroyi;F;2.506;0.273;0.522;0.551;0.965;2.369;2.261;1.374;1.106;0.654;0.975;2.464;1.022;0.92;1.002;1.683;0.442
10113;Anoura geoffroyi;F;2.437;0.283;0.471;0.547;1.018;2.316;2.213;1.309;1.114;0.613;0.938;2.404;1.037;0.902;0.968;1.701;0.458
7727;Anoura geoffroyi;M;2.464;0.302;0.5;0.527;0.978;2.318;2.285;1.371;1.155;0.625;0.93;2.412;0.997;0.942;0.955;1.705;0.514
8060;Anoura geoffroyi;M;2.442;0.271;0.502;0.547;1.012;2.304;2.196;1.319;1.082;0.639;0.925;2.386;1.035;0.917;0.963;1.665;0.488
9750;Anoura geoffroyi;M;2.534;0.271;0.509;0.54;1.029;2.383;2.245;1.311;1.167;0.658;0.945;2.477;1.102;0.951;1.007;1.699;0.498
10932;Anoura geoffroyi;M;2.558;0.293;0.528;0.559;1.047;2.428;2.384;1.403;1.124;0.668;0.99;2.526;1.094;0.945;1.02;1.738;0.489
23174;Anoura geoffroyi;M;2.403;0.281;0.499;0.54;0.981;2.257;2.181;1.273;1.104;0.642;0.932;2.362;1.047;0.905;0.962;1.652;0.477
8390;Choeroniscus godmani;F;1.977;0.218;0.299;0.451;0.83;1.886;1.847;1.19;0.824;0.442;0.708;1.956;0.837;0.766;0.693;1.334;0.292
8065;Choeroniscus godmani;M;1.958;0.212;0.292;0.472;0.833;1.895;1.796;1.236;0.819;0.477;0.736;1.958;0.821;0.729;0.73;1.338;0.296
8068;Choeroniscus godmani;M;1.952;0.213;0.314;0.453;0.864;1.852;1.79;1.211;0.836;0.518;0.747;1.903;0.866;0.741;0.705;1.297;0.298
8070;Choeroniscus godmani;M;1.947;0.212;0.303;0.432;0.854;1.825;1.762;1.212;0.804;0.489;0.67;1.877;0.81;0.72;0.686;1.284;0.286
13871;Choeroniscus godmani;M;2.037;0.242;0.326;0.467;0.845;1.928;1.808;1.258;0.869;0.492;0.718;1.978;0.842;0.779;0.733;1.399;0.324
14529;Choeroniscus godmani;M;1.935;0.21;0.316;0.521;0.823;1.842;1.773;1.156;0.826;0.43;0.704;1.907;0.819;0.747;0.706;1.342;0.304
22809;Choeroniscus godmani;M;1.984;0.213;0.303;0.503;0.821;1.815;1.789;1.259;0.832;0.444;0.79;1.878;0.832;0.744;0.759;1.361;0.294
24521;Chrotopterus auritus;F;3.787;0.416;0.895;0.697;1.342;3.316;3.067;1.798;2.001;1.391;1.409;3.378;1.798;1.629;1.498;2.426;0.961
14566;Chrotopterus auritus;M;3.707;0.418;0.826;0.677;1.417;3.265;2.986;1.796;2.023;1.31;1.396;3.28;1.842;1.626;1.458;2.389;0.988
14696;Chrotopterus auritus;M;3.727;0.46;0.837;0.7;1.464;3.354;3.04;1.781;2.083;1.428;1.453;3.308;1.812;1.679;1.51;2.427;0.974
17860;Chrotopterus auritus;M;3.704;0.451;0.832;0.699;1.435;3.212;2.955;1.774;1.967;1.308;1.349;3.273;1.786;1.536;1.442;2.363;0.874
17926;Chrotopterus auritus;M;3.696;0.415;0.856;0.633;1.391;3.259;3.011;1.75;1.986;1.328;1.401;3.284;1.79;1.65;1.544;2.442;0.958
17927;Chrotopterus auritus;M;3.644;0.38;0.86;0.646;1.309;3.185;2.947;1.737;1.953;1.363;1.39;3.218;1.689;1.498;1.506;2.34;0.945
21378;Chrotopterus auritus;M;3.76;0.424;0.853;0.618;1.515;3.345;3.069;1.87;2.135;1.356;1.469;3.39;1.854;1.692;1.563;2.519;0.989
9470;Glossophaga soricina;F;2.113;0.221;0.438;0.468;0.863;1.915;1.84;1.218;0.995;0.594;0.76;2;0.912;0.845;0.765;1.36;0.423
10271;Glossophaga soricina;F;2.024;0.221;0.412;0.451;0.868;1.834;1.762;1.112;0.979;0.547;0.708;1.921;0.918;0.837;0.725;1.281;0.402
9472;Glossophaga soricina;M;2.046;0.23;0.426;0.498;0.907;1.891;1.806;1.145;1.004;0.589;0.725;1.982;0.955;0.87;0.744;1.303;0.422
9475;Glossophaga soricina;M;2.059;0.239;0.4;0.474;0.887;1.894;1.788;1.13;0.98;0.559;0.722;1.971;0.917;0.87;0.735;1.294;0.439
12048;Glossophaga soricina;M;2.007;0.202;0.422;0.484;0.87;1.876;1.756;1.127;0.94;0.54;0.717;1.946;0.902;0.834;0.734;1.316;0.411
16215;Glossophaga soricina;M;2.012;0.225;0.41;0.472;0.905;1.846;1.742;1.083;0.954;0.57;0.685;1.933;0.923;0.853;0.724;1.252;0.435
18393;Glossophaga soricina;M;2.198;0.257;0.424;0.473;0.919;2.02;1.951;1.2;1.052;0.634;0.792;2.127;0.943;0.899;0.823;1.406;0.485
12025;Lionycteris spurrelli;F;2.005;0.216;0.389;0.425;0.871;1.85;1.729;1.006;0.906;0.543;0.673;1.926;0.87;0.79;0.671;1.26;0.363
12734;Lionycteris spurrelli;F;1.912;0.18;0.382;0.457;0.856;1.767;1.654;0.943;0.858;0.529;0.626;1.847;0.873;0.825;0.63;1.225;0.367
24133;Lionycteris spurrelli;F;2.108;0.207;0.399;0.454;0.886;1.944;1.817;1.061;0.938;0.556;0.703;2.003;0.922;0.839;0.687;1.371;0.422
8323;Lionycteris spurrelli;M;1.987;0.217;0.385;0.428;0.869;1.843;1.745;1.004;0.9;0.531;0.693;1.912;0.887;0.793;0.688;1.293;0.41
14572;Lionycteris spurrelli;M;2.007;0.197;0.404;0.457;0.874;1.856;1.709;1.008;0.924;0.579;0.704;1.907;0.896;0.814;0.692;1.286;0.428
23198;Lionycteris spurrelli;M;1.978;0.21;0.385;0.443;0.882;1.81;1.685;0.965;0.892;0.644;0.518;1.867;0.878;0.828;0.659;1.24;0.397
23199;Lionycteris spurrelli;M;1.94;0.193;0.373;0.434;0.865;1.793;1.643;0.927;0.886;0.526;0.654;1.833;0.855;0.808;0.652;1.222;0.395
4396;Lonchophylla robusta;F;2.695;0.23;0.502;0.518;1.057;2.517;2.432;1.543;1.145;0.711;1.034;2.629;1.124;0.968;1.046;1.834;0.47
6860;Lonchophylla robusta;F;2.577;0.279;0.526;0.53;1.047;2.396;2.306;1.446;1.052;0.682;0.977;2.483;1.09;0.959;0.974;1.667;0.473
18055;Lonchophylla robusta;F;2.586;0.255;0.538;0.557;1.073;2.358;2.224;1.371;1.156;0.67;0.936;2.459;1.145;1.001;0.972;1.706;0.517
21411;Lonchophylla robusta;F;2.628;0.278;0.571;0.535;1.052;2.45;2.317;1.449;1.162;0.715;0.937;2.541;1.128;0.927;0.984;1.736;0.526
7854;Lonchophylla robusta;M;2.639;0.265;0.532;0.51;1.037;2.485;2.361;1.487;1.142;0.702;1.013;2.584;1.117;0.933;0.995;1.778;0.521
8695;Lonchophylla robusta;M;2.583;0.256;0.55;0.524;1.053;2.457;2.366;1.451;1.174;0.688;1.003;2.539;1.13;0.981;0.975;1.741;0.529
8895;Lonchophylla robusta;M;2.776;0.272;0.559;0.568;1.098;2.588;2.448;1.579;1.2;0.74;1.051;2.679;1.203;0.982;1.085;1.868;0.595
9612;Phylloderma stenops;F;3.321;0.414;1.077;1.023;1.371;2.915;2.756;1.562;1.735;1.145;1.1;3.001;1.561;1.543;1.172;2.009;0.927
10237;Phylloderma stenops;F;3.129;0.401;1.083;0.95;1.363;2.807;2.562;1.487;1.656;1.12;1.068;2.918;1.553;1.491;1.131;1.95;0.839
13747;Phylloderma stenops;F;3.253;0.402;1.132;1.061;1.443;2.916;2.757;1.573;1.725;1.1889;1.119;3.046;1.606;1.559;1.171;2.012;0.953
