ICN_ID;SPECIES;SEX;SGL;C-C;IOB;POB;HSB;CCL;BL;GL;ZB;M-M;OZR;CBL;MB;HSH;UZR;UKL;CH
8063;Anoura geoffroyi;F;2.519;0.29;0.51;0.549;1.029;2.39;2.281;1.353;1.124;0.632;0.99;2.486;1.061;0.939;1.033;1.734;0.438
10111;Anoura geoffroyi;F;2.472;0.271;0.509;0.536;0.994;2.328;2.214;1.357;1.125;0.666;0.956;2.428;1.044;0.958;0.972;1.682;0.476
10112;Anoura geoffroyi;F;2.506;0.273;0.522;0.551;0.965;2.369;2.261;1.374;1.106;0.654;0.975;2.464;1.022;0.92;1.002;1.683;0.442
10113;Anoura geoffroyi;F;2.437;0.283;0.471;0.547;1.018;2.316;2.213;1.309;1.114;0.613;0.938;2.404;1.037;0.902;0.968;1.701;0.458
11538;Anoura geoffroyi;F;2.575;0.281;0.487;0.526;1.002;2.407;2.314;1.363;1.135;0.636;0.964;2.524;1.067;0.961;0.949;1.663;0.443
24653;Anoura geoffroyi;F;2.545;0.306;0.501;0.535;1.034;2.411;2.291;1.354;1.104;0.656;0.972;2.504;1.067;0.933;1.02;1.755;0.442
7727;Anoura geoffroyi;M;2.464;0.302;0.5;0.527;0.978;2.318;2.285;1.371;1.155;0.625;0.93;2.412;0.997;0.942;0.955;1.705;0.514
7728;Anoura geoffroyi;M;2.559;0.29;0.522;0.525;0.979;2.405;2.312;1.39;1.089;0.622;0.953;2.52;1.037;0.89;0.998;1.731;0.49
8060;Anoura geoffroyi;M;2.442;0.271;0.502;0.547;1.012;2.304;2.196;1.319;1.082;0.639;0.925;2.386;1.035;0.917;0.963;1.665;0.488
8062;Anoura geoffroyi;M;2.532;0.293;0.525;0.535;0.983;2.343;2.292;1.328;1.08;0.714;0.916;2.484;1.044;0.902;0.971;1.716;0.496
9701;Anoura geoffroyi;M;2.527;0.31;0.528;0.561;1.02;2.406;2.297;1.307;1.131;0.658;0.977;2.494;1.087;0.922;0.991;1.704;0.49
9750;Anoura geoffroyi;M;2.534;0.271;0.509;0.54;1.029;2.383;2.245;1.311;1.167;0.658;0.945;2.477;1.102;0.951;1.007;1.699;0.498
10110;Anoura geoffroyi;M;2.487;0.274;0.504;0.529;0.982;2.329;2.247;1.324;1.112;0.636;0.958;2.451;1.037;0.946;0.961;1.638;0.493
10932;Anoura geoffroyi;M;2.558;0.293;0.528;0.559;1.047;2.428;2.384;1.403;1.124;0.668;0.99;2.526;1.094;0.945;1.02;1.738;0.489
23174;Anoura geoffroyi;M;2.403;0.281;0.499;0.54;0.981;2.257;2.181;1.273;1.104;0.642;0.932;2.362;1.047;0.905;0.962;1.652;0.477
23175;Anoura geoffroyi;M;2.561;0.329;0.479;0.547;1.002;2.425;2.325;1.468;1.174;0.669;1.018;2.51;1.084;0.907;1.035;1.743;0.509
23246;Anoura geoffroyi;M;2.507;0.295;0.518;0.577;1.045;2.355;2.279;1.372;1.164;0.657;0.995;2.433;1.108;0.968;0.998;1.715;0.5
8390;Choeroniscus godmani;F;1.977;0.218;0.299;0.451;0.83;1.886;1.847;1.19;0.824;0.442;0.708;1.956;0.837;0.766;0.693;1.334;0.292
8065;Choeroniscus godmani;M;1.958;0.212;0.292;0.472;0.833;1.895;1.796;1.236;0.819;0.477;0.736;1.958;0.821;0.729;0.73;1.338;0.296
8068;Choeroniscus godmani;M;1.952;0.213;0.314;0.453;0.864;1.852;1.79;1.211;0.836;0.518;0.747;1.903;0.866;0.741;0.705;1.297;0.298
8070;Choeroniscus godmani;M;1.947;0.212;0.303;0.432;0.854;1.825;1.762;1.212;0.804;0.489;0.67;1.877;0.81;0.72;0.686;1.284;0.286
13871;Choeroniscus godmani;M;2.037;0.242;0.326;0.467;0.845;1.928;1.808;1.258;0.869;0.492;0.718;1.978;0.842;0.779;0.733;1.399;0.324
14529;Choeroniscus godmani;M;1.935;0.21;0.316;0.521;0.823;1.842;1.773;1.156;0.826;0.43;0.704;1.907;0.819;0.747;0.706;1.342;0.304
22809;Choeroniscus godmani;M;1.984;0.213;0.303;0.503;0.821;1.815;1.789;1.259;0.832;0.444;0.79;1.878;0.832;0.744;0.759;1.361;0.294
24521;Chrotopterus auritus;F;3.787;0.416;0.895;0.697;1.342;3.316;3.067;1.798;2.001;1.391;1.409;3.378;1.798;1.629;1.498;2.426;0.961
14566;Chrotopterus auritus;M;3.707;0.418;0.826;0.677;1.417;3.265;2.986;1.796;2.023;1.31;1.396;3.28;1.842;1.626;1.458;2.389;0.988
14696;Chrotopterus auritus;M;3.727;0.46;0.837;0.7;1.464;3.354;3.04;1.781;2.083;1.428;1.453;3.308;1.812;1.679;1.51;2.427;0.974
17860;Chrotopterus auritus;M;3.704;0.451;0.832;0.699;1.435;3.212;2.955;1.774;1.967;1.308;1.349;3.273;1.786;1.536;1.442;2.363;0.874
17926;Chrotopterus auritus;M;3.696;0.415;0.856;0.633;1.391;3.259;3.011;1.75;1.986;1.328;1.401;3.284;1.79;1.65;1.544;2.442;0.958
17927;Chrotopterus auritus;M;3.644;0.38;0.86;0.646;1.309;3.185;2.947;1.737;1.953;1.363;1.39;3.218;1.689;1.498;1.506;2.34;0.945
21378;Chrotopterus auritus;M;3.76;0.424;0.853;0.618;1.515;3.345;3.069;1.87;2.135;1.356;1.469;3.39;1.854;1.692;1.563;2.519;0.989
